game,net winnings,bet
304,-19.5,48.0
305,2.5,44.0
306,6.0,46.0
307,-7.5,45.0
308,8.0,46.0
309,43.0,121.0
310,-3.5,177.0
311,-13.5,86.0
312,5.5,45.0
313,12.0,133.0
314,83.0,239.0
315,5.0,49.0
316,-61.0,524.0
317,7.0,82.0
318,10.5,47.0
319,-6.5,46.0
320,1.5,45.0
321,-9.0,45.0
322,8.5,45.0
323,-1.0,122.0
324,-9.5,52.0
325,98.5,391.0
326,-18.0,122.0
327,-1.5,49.0
328,15.5,293.0
329,178.5,354.0
330,31.5,123.0
331,7.5,49.0
332,6.5,218.0
333,72.0,144.0
334,8.5,50.0
335,-4.5,45.0
336,2.0,50.0
337,12.0,147.0
338,-29.0,372.0
339,53.0,313.0
340,72.5,312.0
341,1.5,51.0
342,-8.0,55.0
343,-5.5,47.0
344,7.5,55.0
345,1.0,49.0
346,10.0,47.0
347,13.5,104.0
348,-19.0,50.0
349,-87.5,145.0
350,3.0,49.0
351,4.0,47.0
352,-14.5,127.0
353,3.0,45.0
354,-42.5,82.0
355,-2.5,48.0
356,2.0,51.0
357,26.5,199.0
358,2.0,86.0
359,6.5,49.0
360,11.5,45.0
361,1.5,50.0
362,-20.0,50.0
363,3.5,49.0
364,17.5,142.0
365,-1.5,244.0
366,2.0,51.0
367,-32.0,575.0
368,-1.5,46.0
369,1.5,46.0
370,-5.5,46.0
371,-11.5,53.0
372,-4.5,52.0
373,11.0,46.0
374,8.0,48.0
375,-2.0,50.0
376,-2.5,47.0
377,0.0,48.0
378,5.0,48.0
379,6.5,47.0
380,-4.0,46.0
381,-2.0,48.0
382,21.5,68.0
383,124.0,771.0
384,48.5,547.0
385,-24.0,256.0
386,-76.0,331.0
387,9.0,49.0
388,-5.5,51.0
389,11.0,48.0
390,-5.5,47.0
391,-66.0,178.0
392,12.0,50.0
393,2.5,44.0
394,14.0,51.0
395,-14.5,47.0
396,7.0,49.0
397,-5.5,48.0
398,-4.0,48.0
399,6.0,45.0
400,9.5,50.0
401,10.0,50.0
402,12.0,255.0
403,5.5,47.0
404,-9.0,126.0
405,2.0,48.0
406,-4.5,47.0
407,-14.0,199.0
408,10.5,50.0
409,47.5,352.0
410,5.5,54.0
411,-2.0,49.0
412,7.0,48.0
413,27.0,104.0
414,-15.0,65.0
415,-9.5,47.0
416,13.0,198.0
417,0.0,47.0
418,-30.0,72.0
419,100.5,428.0
420,-9.5,389.0
421,-0.5,50.0
422,-12.5,47.0
423,8.0,43.0
424,10.0,51.0
425,1.0,51.0
426,-98.5,180.0
427,159.5,201.0
428,-20.5,52.0
429,-1.0,46.0
430,-1.0,51.0
431,-1.5,66.0
432,5.0,45.0
433,-7.5,66.0
434,-8.5,50.0
435,68.0,162.0
436,-5.0,46.0
437,3.0,163.0
438,-14.5,48.0
439,-32.5,143.0
440,-10.5,47.0
441,32.0,163.0
442,56.5,100.0
443,2.5,49.0
444,14.0,237.0
445,-9.5,48.0
446,29.5,180.0
447,22.5,142.0
448,-8.0,50.0
449,-7.0,52.0
450,-1.5,54.0
451,-19.0,50.0
452,-6.5,44.0
453,13.5,47.0
454,3.0,49.0
455,-45.5,105.0
456,-23.5,63.0
457,68.0,411.0
458,-2.5,45.0
459,6.0,52.0
460,0.5,51.0
461,0.5,48.0
462,161.5,409.0
463,-13.5,46.0
464,-6.5,44.0
465,-28.0,199.0
466,19.0,50.0
467,1.0,47.0
468,59.0,233.0
469,-1.5,52.0
470,-12.5,66.0
471,4.0,47.0
472,51.5,141.0
473,2.0,47.0
474,105.5,579.0
475,-122.5,184.0
476,8.0,46.0
477,0.5,45.0
478,-8.5,50.0
479,0.0,48.0
480,19.5,110.0
481,0.5,49.0
482,4.0,54.0
483,9.0,48.0
484,9.5,47.0
485,-3.0,47.0
486,2.0,48.0
487,78.5,240.0
488,-1.0,47.0
489,-4.0,51.0
490,10.5,45.0
491,14.5,103.0
492,0.0,49.0
493,11.0,50.0
494,6.5,47.0
495,4.0,48.0
496,33.5,66.0
497,34.0,66.0
498,-25.0,217.0
499,-11.5,68.0
500,4.0,50.0
501,2.0,50.0
502,2.5,50.0
503,13.0,52.0
504,122.5,201.0
505,3.0,49.0
506,11.5,48.0
507,-1.5,49.0
508,-1.5,47.0
509,10.0,48.0
510,-2.5,51.0
511,-5.5,50.0
512,32.0,429.0
513,-15.0,50.0
514,-10.5,47.0
515,-94.5,580.0
516,24.5,125.0
517,79.5,162.0
518,14.5,46.0
519,-9.5,51.0
520,-8.5,49.0
521,2.5,83.0
522,-7.5,46.0
523,4.0,49.0
524,62.5,143.0
525,-4.5,49.0
526,-0.5,52.0
527,2.0,44.0
528,4.5,54.0
529,-23.0,179.0
530,0.0,46.0
531,-125.0,336.0
532,13.0,46.0
533,64.5,203.0
534,-114.0,386.0
535,-9.0,47.0
536,1.5,50.0
537,-87.5,317.0
538,0.5,48.0
539,-3.5,49.0
540,-7.5,43.0
541,-10.0,48.0
542,-29.0,67.0
543,-6.5,109.0
544,35.5,178.0
545,49.0,89.0
546,35.5,183.0
547,-87.0,429.0
548,69.0,445.0
549,-51.0,273.0
550,3.0,46.0
551,66.5,220.0
552,6.5,47.0
553,-6.5,50.0
554,-22.5,122.0
555,-4.5,47.0
556,13.5,448.0
557,-1.0,47.0
558,-6.5,44.0
559,57.5,485.0
560,-6.5,47.0
561,7.5,51.0
562,-30.5,145.0
563,12.0,50.0
564,86.5,598.0
565,12.0,293.0
566,38.0,217.0
567,14.5,49.0
568,1.0,49.0
569,5.5,47.0
570,0.5,46.0
571,4.5,46.0
572,4.0,49.0
573,3.0,45.0
574,6.5,45.0
575,-5.0,46.0
576,-15.0,52.0
577,2.0,48.0
578,40.0,139.0
579,-5.0,48.0
580,-2.0,51.0
581,-1.5,44.0
582,-112.0,295.0
583,1.5,47.0
584,-16.5,65.0
585,11.0,54.0
586,-4.5,52.0
587,-105.0,374.0
588,0.5,46.0
589,6.0,52.0
590,9.0,44.0
591,11.0,45.0
592,-5.0,48.0
593,6.0,48.0
594,19.5,71.0
595,-2.5,48.0
596,9.0,47.0
597,-17.0,314.0
598,3.5,48.0
599,-6.5,46.0
600,0.0,48.0
601,1.0,46.0
602,1.0,144.0
603,1.5,49.0
604,11.5,121.0
605,1.0,49.0
606,5.0,47.0
607,-23.5,67.0
608,4.0,47.0
609,-17.5,182.0
610,-1.5,48.0
611,1.5,49.0
612,0.0,46.0
613,-8.0,45.0
614,-1.0,50.0
615,-1.0,47.0
616,-4.5,46.0
617,43.0,446.0
618,13.0,90.0
619,-2.0,47.0
620,-134.5,428.0
621,-12.5,70.0
622,-4.5,47.0
623,-1.0,47.0
624,8.0,50.0
625,89.5,167.0
626,10.5,47.0
627,-21.5,52.0
628,-10.0,49.0
629,13.0,45.0
630,1.5,44.0
631,-11.5,67.0
632,1.5,47.0
633,46.5,87.0
634,-31.5,65.0
635,23.5,617.0
636,-1.0,273.0
637,-4.5,409.0
638,-8.0,46.0
639,-19.0,83.0
640,2.0,49.0
641,5.0,49.0
642,-44.0,395.0
643,11.0,48.0
644,-3.5,164.0
645,-0.5,51.0
646,13.0,51.0
647,8.0,44.0
648,-1.0,47.0
649,-1.0,49.0
650,10.5,46.0
651,7.5,48.0
652,3.0,49.0
653,-25.5,67.0
654,-31.0,68.0
655,-6.0,45.0
656,171.5,539.0
657,-2.0,49.0
658,-4.5,49.0
659,-15.5,52.0
660,-3.0,47.0
661,5.0,392.0
662,-1.5,86.0
663,52.5,111.0
664,-24.5,68.0
665,11.5,62.0
666,4.5,47.0
667,5.0,47.0
668,9.5,47.0
669,-176.0,751.0
670,-132.5,332.0
671,40.0,313.0
672,19.0,160.0
673,-10.5,48.0
674,-5.0,47.0
675,-12.0,50.0
676,6.0,71.0
677,-14.0,67.0
678,-2.0,47.0
679,7.0,48.0
680,7.5,46.0
681,37.0,146.0
682,-83.5,162.0
683,-1.5,106.0
684,-1.0,49.0
685,26.5,64.0
686,-9.5,47.0
687,-5.0,51.0
688,43.0,87.0
689,-4.0,121.0
690,12.0,49.0
691,11.0,47.0
692,-1.0,180.0
693,24.5,108.0
694,-45.0,261.0
695,7.5,45.0
696,8.5,49.0
697,-12.5,46.0
698,-47.0,108.0
699,-1.5,49.0
700,2.0,48.0
701,-2.0,44.0
702,26.0,64.0
703,10.5,256.0
704,-4.5,87.0
705,3.0,47.0
706,-4.0,51.0
707,11.5,47.0
708,-117.0,158.0
709,-138.0,370.0
710,31.0,258.0
711,-6.5,49.0
712,-10.0,69.0
713,5.0,48.0
714,-13.5,180.0
715,-44.5,275.0
716,-4.5,50.0
717,8.5,49.0
718,7.0,47.0
719,9.0,50.0
720,-23.0,106.0
721,-63.5,317.0
722,-14.5,48.0
723,4.0,48.0
724,6.0,48.0
725,38.5,120.0
726,4.0,45.0
727,-8.0,48.0
728,0.0,49.0
729,-45.5,161.0
730,2.0,46.0
731,16.5,50.0
732,64.5,108.0
733,-2.5,83.0
734,40.0,432.0
735,-7.0,47.0
736,5.0,48.0
737,6.0,51.0
738,-4.0,47.0
739,1.0,47.0
740,13.5,50.0
741,5.5,45.0
742,59.5,238.0
743,-17.0,66.0
744,11.5,64.0
745,-28.5,65.0
746,1.0,181.0
747,-3.5,50.0
748,0.5,47.0
749,-1.0,48.0
750,16.5,49.0
751,-9.0,178.0
752,0.0,49.0
753,27.0,277.0
754,-13.5,616.0
755,15.5,46.0
756,33.5,71.0
757,-2.5,84.0
758,3.0,52.0
759,0.5,49.0
760,-10.0,44.0
761,34.0,85.0
762,9.5,68.0
763,0.5,52.0
764,41.0,201.0
765,2.5,49.0
766,-1.0,45.0
767,1.5,49.0
768,-2.0,48.0
769,-61.5,102.0
770,37.5,350.0
771,43.5,220.0
772,5.0,46.0
773,1.0,46.0
774,3.0,54.0
775,-1.5,47.0
776,-62.5,103.0
777,8.0,51.0
778,-102.0,387.0
779,-50.0,85.0
780,-4.0,47.0
781,-6.5,47.0
782,-8.0,49.0
783,77.0,162.0
784,0.5,50.0
785,-5.5,46.0
